INF [20100405-20:00:20.620] w3c: - - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:01:22.100] w3c: - - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:01:47.461] w3c: 66 - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:01:47.475] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:01:47.492] w3c: 14 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:01:47.496] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:01:47.500] w3c: 3 - - - - - - - RowzShards:add_child_shard 3,1,1
INF [20100405-20:01:47.503] w3c: 2 - - - - - - - RowzShards:add_child_shard 3,2,1
INF [20100405-20:02:05.052] w3c: 65 - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:02:05.058] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:02:05.075] w3c: 15 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:02:05.078] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:02:05.083] w3c: 4 - - - - - - - RowzShards:add_child_shard 3,1,1
INF [20100405-20:02:05.085] w3c: 1 - - - - - - - RowzShards:add_child_shard 3,2,1
INF [20100405-20:02:36.243] w3c: 46 - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:02:36.257] w3c: 12 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:02:36.261] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:02:36.266] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:02:36.278] w3c: 3 - - - - - - - RowzShards:add_child_shard 3,1,1
INF [20100405-20:02:36.281] w3c: 2 - - - - - - - RowzShards:add_child_shard 3,2,1
INF [20100405-20:04:34.495] w3c: 49 - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:04:34.501] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.508] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.517] w3c: 6 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.526] w3c: 7 - - - - - - - RowzShards:add_child_shard 3,1,1
INF [20100405-20:04:34.528] w3c: 1 - - - - - - - RowzShards:add_child_shard 3,2,1
INF [20100405-20:04:34.549] w3c: 3 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:0,_shard_id:3)
INF [20100405-20:04:34.557] w3c: 6 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.576] w3c: 17 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.580] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.585] w3c: 3 - - - - - - - RowzShards:add_child_shard 6,4,1
INF [20100405-20:04:34.586] w3c: 1 - - - - - - - RowzShards:add_child_shard 6,5,1
INF [20100405-20:04:34.589] w3c: 2 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:1844674407370955161,_shard_id:6)
INF [20100405-20:04:34.595] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.618] w3c: 21 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.622] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_2,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.624] w3c: 2 - - - - - - - RowzShards:add_child_shard 9,7,1
INF [20100405-20:04:34.626] w3c: 1 - - - - - - - RowzShards:add_child_shard 9,8,1
INF [20100405-20:04:34.630] w3c: 2 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:3689348814741910322,_shard_id:9)
INF [20100405-20:04:34.643] w3c: 12 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.651] w3c: 7 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.655] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_3,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:34.660] w3c: 4 - - - - - - - RowzShards:add_child_shard 12,10,1
INF [20100405-20:04:34.662] w3c: 1 - - - - - - - RowzShards:add_child_shard 12,11,1
INF [20100405-20:04:34.664] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:5534023222112865483,_shard_id:12)
